"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check if the user can change the password through the profile settings in the user menu","9998","testChangePassword","suite name","Fri Jun 20 13:42:56 GMT 2025","passed","Fri Jun 20 13:43:06 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePassword"
"Check after clicking on Transactions user redirected to Transactions page","1536","testTransactionsLink","suite name","Fri Jun 20 13:42:17 GMT 2025","passed","Fri Jun 20 13:42:19 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testTransactionsLink"
"Verifies that table column headers are displayed correctly on each page when navigating through paginated results.","8185","testColumnHeadersDisplayCorrectlyOnAllPages","suite name","Fri Jun 20 13:50:18 GMT 2025","passed","Fri Jun 20 13:50:26 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testColumnHeadersDisplayCorrectlyOnAllPages"
"Error message is displayed when start date is after end date.","2756","testErrorMessageForReversedDateRange","suite name","Fri Jun 20 13:43:58 GMT 2025","passed","Fri Jun 20 13:44:01 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testErrorMessageForReversedDateRange"
"Verifies that all form field placeholders are set correctly","4929","testVerifyPlaceholdersEditForm","suite name","Fri Jun 20 13:43:23 GMT 2025","passed","Fri Jun 20 13:43:28 GMT 2025","xyz.npgw.test.run.EditAcquirerDialogTest","test name","xyz.npgw.test.run.EditAcquirerDialogTest","testVerifyPlaceholdersEditForm"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","4409","testVerifyErrorMessageForInvalidCompanyNameLength","suite name","Fri Jun 20 13:41:37 GMT 2025","passed","Fri Jun 20 13:41:41 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"Verify, that 'Reset filter' button change 'Status' (two options are checked) to default value ( ALL)","0","testResetMultiStatus","suite name","Fri Jun 20 13:39:54 GMT 2025","unknown","Fri Jun 20 13:39:54 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetMultiStatus"
"'Create' button is disabled when required fields are not filled.","3591","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","suite name","Fri Jun 20 13:40:48 GMT 2025","passed","Fri Jun 20 13:40:52 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
"Create company analyst under admin","29984","testCreateCompanyAnalystAndDeactivate","suite name","Fri Jun 20 13:41:32 GMT 2025","passed","Fri Jun 20 13:42:02 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCreateCompanyAnalystAndDeactivate"
"Filter transactions by business unit","6497","testFilterTransactionsByBusinessUnit","suite name","Fri Jun 20 13:46:58 GMT 2025","passed","Fri Jun 20 13:47:04 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByBusinessUnit"
