"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Download files: PDF, Excel, CVS","5860","testDownloadFiles","Surefire suite","Wed May 07 17:27:16 GMT 2025","passed","Wed May 07 17:27:22 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","Surefire test","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"'Create' button is disabled when required fields are not filled.","4859","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","Surefire suite","Wed May 07 17:35:09 GMT 2025","passed","Wed May 07 17:35:14 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
"User navigate to 'Reports page' after clicking on 'Reports' link on the header","1433","testNavigateToReportsPage","Surefire suite","Wed May 07 17:37:08 GMT 2025","passed","Wed May 07 17:37:09 GMT 2025","xyz.npgw.test.run.ReportsPageTest","Surefire test","xyz.npgw.test.run.ReportsPageTest","testNavigateToReportsPage"
"Reset user password under company admin","22671","testResetUserPasswordCompanyUser","Surefire suite","Wed May 07 17:40:24 GMT 2025","passed","Wed May 07 17:40:46 GMT 2025","xyz.npgw.test.run.TeamPageTest","Surefire test","xyz.npgw.test.run.TeamPageTest","testResetUserPasswordCompanyUser"
"Verify that re-selecting an already selected status keeps the selection unchanged.","8420","testRetainStatusWhenReSelectingSameOption","Surefire suite","Wed May 07 17:31:21 GMT 2025","passed","Wed May 07 17:31:29 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","Surefire test","xyz.npgw.test.run.AcquirersPageTest","testRetainStatusWhenReSelectingSameOption"
"Deactivate and activate user under company admin","25862","testDeactivateAndActivateCompanyUser","Surefire suite","Wed May 07 17:38:35 GMT 2025","passed","Wed May 07 17:39:00 GMT 2025","xyz.npgw.test.run.TeamPageTest","Surefire test","xyz.npgw.test.run.TeamPageTest","testDeactivateAndActivateCompanyUser"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","4722","testVerifyErrorMessageForInvalidCompanyNameLength","Surefire suite","Wed May 07 17:36:29 GMT 2025","passed","Wed May 07 17:36:33 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"Displaying rows per page options when clicking on Selector Rows","3686","testCountOptionsSelectorRows","Surefire suite","Wed May 07 17:26:47 GMT 2025","passed","Wed May 07 17:26:51 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","Surefire test","xyz.npgw.test.run.TransactionsPageTest","testCountOptionsSelectorRows"
"'Create' button is disabled when required fields are not filled.","4129","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","Surefire suite","Wed May 07 17:35:19 GMT 2025","passed","Wed May 07 17:35:23 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
"Add users with roles [SUPER, ADMIN, USER] as super admin","10702","testAddUser","Surefire suite","Wed May 07 17:38:06 GMT 2025","passed","Wed May 07 17:38:17 GMT 2025","xyz.npgw.test.run.TeamPageTest","Surefire test","xyz.npgw.test.run.TeamPageTest","testAddUser"
