"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login","0","Navigation","5","0","","0"
"0","System/Companies and business units","0","Add business unit","5","0","","0"
"0","Transactions","0","Reset filter","17","0","","0"
"0","Reports","0","Generate report","2","0","","0"
"3","Header","0","User menu","10","0","","0"
"4","System/Acquirers","0","Status","0","0","","0"
"0","Transactions","0","Panel","1","0","","0"
"0","Transactions","0","Amount","5","0","","0"
"0","System/Companies and business units","1","Add company","11","0","","0"
"0","Transactions","0","Filter","11","0","","0"
"0","System/Team","0","Sorting in table","2","0","","0"
"8","System/Acquirers","0","Acquirers list","0","0","","0"
"0","System/Team","0","Add user","5","0","","0"
"11","System/Acquirers","0","Add acquirer","0","0","","0"
"0","System/Team","0","Edit user","6","0","","0"
"0","Transactions","0","Settings","2","0","","0"
"0","Dashboard","0","Transaction summary","1","0","","0"
"3","System/Acquirers","0","Rows Per Page","0","0","","0"
"0","Dashboard","0","Chart Display","1","0","","0"
"0","System/Team","0","Navigation","1","0","","0"
"0","Companies and business units","0","Add business unit","1","0","","0"
"0","Reports","0","Navigation","1","0","","0"
"0","Transactions","0","Status","1","0","","0"
"0","Dashboard","0","Navigation","1","0","","0"
"0","Transactions","0","Transaction details","2","0","","0"
"0","Transactions","0","Refresh data","2","0","","0"
"0","Reports","0","Data range","1","0","","0"
"5","System/Gateway","0","Currency","0","0","","0"
"0","Login","0","Remember me","2","0","","0"
"0","Header","0","Logo","2","0","","0"
"0","Transactions","0","Pagination","3","0","","0"
"0","System/Team","0","Status","1","0","","0"
"0","Reports","0","Table entries sorting","1","0","","0"
"0","Transactions","0","Business unit","1","0","","0"
"0","Companies and business units","0","Reset filter","1","0","","0"
"0","Transactions","0","Date range","1","0","","0"
"0","Dashboard","0","Data range","1","0","","0"
"0","Dashboard","0","Refresh data","1","0","","0"
"0","Transactions","0","Navigation","1","0","","0"
"0","Reports","0","Reset filter","1","0","","0"
"0","Dashboard","0","Reset filter","1","0","","0"
"0","System/Team","0","Reset filter","1","0","","0"
"1","Transactions","0","Table sorting","1","0","","0"
"0","System/Companies and business units","0","Edit company","1","0","","0"
"0","System/Companies and business units","0","Edit business unit","1","0","","0"
"0","Transactions","0","Export table data","3","0","","0"
"0","Transactions","0","Currency","3","0","","0"
"0","Transactions","0","Card type","1","0","","0"
"1","System/Acquirers","0","Edit acquirers","0","0","","0"
"1","System/Acquirers","0","Select acquirer","0","0","","0"
"0","Header","0","Log Out","1","0","","0"
"0","Header","0","Transactions menu item","1","0","","0"
