"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Transactions","0","Displaying currency filter: EUR","0","0","","1"
"0","Login","0","Navigation","5","0","","0"
"0","System/Team","0","Navigation","1","0","","0"
"0","System/Companies and business units","0","Add merchant","4","0","","0"
"0","Transactions","0","Number of lines per page field","1","0","","0"
"0","Reports","0","Navigation","1","0","","0"
"0","Login","0","Remember me","2","0","","0"
"0","System/Acquirers","0","Status","3","0","","0"
"0","Transactions","0","Selector rows options","1","0","","0"
"0","Transactions","0","Panel","1","0","","0"
"0","Transactions","0","Amount","0","0","","1"
"0","Dashboard","0","Navigation","2","0","","0"
"0","System/Companies and business units","0","Add company","0","0","","1"
"0","Transactions","0","Status","1","0","","0"
"0","Transactions","0","Pagination","0","0","","1"
"0","Companies and business units","0","Add merchant","0","0","","1"
"0","Transactions","0","Navigation","1","0","","0"
