"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Edit user under company admin","1","testEditCompanyUser","suite name","Mon May 12 13:07:17 GMT 2025","skipped","Mon May 12 13:07:17 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testEditCompanyUser"
"Unauthenticated users are automatically redirected to the 'Login page'","2916","testUnauthenticatedUserRedirectionToLoginPage","suite name","Mon May 12 13:06:09 GMT 2025","passed","Mon May 12 13:06:12 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Check/Uncheck Visible columns in the Settings and verify table column headers","0","testCheckUncheckOneVisibleColumn","suite name","Mon May 12 13:07:19 GMT 2025","skipped","Mon May 12 13:07:19 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testCheckUncheckOneVisibleColumn"
"Filter acquirers by status.","2709","testFilterAcquirersByStatus","suite name","Mon May 12 13:06:47 GMT 2025","passed","Mon May 12 13:06:50 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testFilterAcquirersByStatus"
"Verify error appears when creating an Acquirer with a duplicate name.","0","testCreateAcquirerWithDuplicateNameShowsError","suite name","Mon May 12 13:07:20 GMT 2025","skipped","Mon May 12 13:07:20 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testCreateAcquirerWithDuplicateNameShowsError"
"Verify Selecting 'Rows Per Page' Option Updates the Field Value.","0","testSelectingRowsPerPageOptionUpdatesFieldValue","suite name","Mon May 12 13:07:18 GMT 2025","skipped","Mon May 12 13:07:18 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testSelectingRowsPerPageOptionUpdatesFieldValue"
"Verify that the user can switch to the light theme","0","testLightColorThemeSwitch","suite name","Mon May 12 13:07:19 GMT 2025","skipped","Mon May 12 13:07:19 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLightColorThemeSwitch"
"Download files: PDF, Excel, CVS","0","testDownloadFiles","suite name","Mon May 12 13:07:19 GMT 2025","skipped","Mon May 12 13:07:19 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"Added company appears in the 'Select company' dropdown list","0","testVerifyCompanyPresenceInDropdown","suite name","Mon May 12 13:07:18 GMT 2025","skipped","Mon May 12 13:07:18 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyCompanyPresenceInDropdown"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","5559","testRememberMeUncheckedDontSaveUserEmail","suite name","Mon May 12 13:06:03 GMT 2025","passed","Mon May 12 13:06:09 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"Filtering transactions by Currency","0","testFilterTransactionsByCurrency","suite name","Mon May 12 13:07:19 GMT 2025","skipped","Mon May 12 13:07:19 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testFilterTransactionsByCurrency"
"Verify that re-selecting an already selected status keeps the selection unchanged.","6592","testRetainStatusWhenReSelectingSameOption","suite name","Mon May 12 13:07:05 GMT 2025","passed","Mon May 12 13:07:11 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRetainStatusWhenReSelectingSameOption"
