"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","System/Companies and business units","0","Edit company","1","0","","0"
"2","System/Team","0","Sorting in table","0","0","","0"
"1","System/Gateway","0","Currency","0","1","","1"
"0","Transactions","0","Data range","0","1","","0"
"4","System/Acquirers","0","Status","0","0","","0"
"13","System/Companies and business units","0","Add company","0","0","","0"
"1","Transactions","0","Transactions table header","0","0","","0"
"5","","0","","0","0","","0"
"0","Login","0","Navigation","5","0","","0"
"0","Transactions","0","Amount","0","5","","0"
"4","System/Companies and business units","0","Add business unit","1","0","","0"
"11","System/Acquirers","0","Add acquirer","0","0","","0"
"0","System/Team","0","Add user","2","0","","1"
"1","Reports","0","Navigation","0","0","","0"
"1","Reports","0","Data range","0","0","","0"
"2","Header","0","User menu","1","1","","2"
"1","Dashboard","0","Data range","0","0","","0"
"0","Transactions","0","Selector rows options","0","1","","0"
"8","System/Acquirers","0","Acquirers list","0","0","","0"
"1","Header","0","Logo","0","1","","0"
"3","System/Acquirers","0","Rows Per Page","0","0","","0"
"0","Transactions","0","Settings","0","1","","0"
"2","System/Team","0","Edit user","4","0","","0"
"0","Header","0","Log Out","0","1","","0"
"0","Transactions","0","Export table data","0","3","","0"
"0","Header","0","Transactions menu item","0","1","","0"
"0","Dashboard","0","Reset filter","0","0","","1"
"1","Companies and business units","0","Add business unit","0","0","","0"
"1","Dashboard","0","Refresh data","0","0","","0"
"0","Dashboard","0","Transaction summary","0","0","","1"
"0","Transactions","0","Reset filter button","0","2","","0"
"0","Login","0","Remember me","2","0","","0"
"0","Transactions","0","Currency","0","4","","0"
"1","Companies and business units","0","Reset filter","0","0","","0"
"0","Transactions","0","Panel","0","1","","0"
"1","System/Companies and business units","0","Edit business unit","0","0","","0"
"0","Transactions","0","Status","0","2","","0"
"0","Transactions","0","Pagination","0","1","","0"
"1","System/Team","0","Status","0","0","","0"
"0","Dashboard","0","Chart Display","0","0","","1"
"1","System/Acquirers","0","Edit acquirers","0","0","","0"
"0","Transactions","0","Navigation","0","1","","0"
"0","Dashboard","1","Navigation","0","0","","0"
"0","Transactions","0","Number of lines per page field","0","1","","0"
"0","Transactions","0","Business unit","0","1","","0"
"1","System/Acquirers","0","Select acquirer","0","0","","0"
"1","System/Team","0","Navigation","0","0","","0"
"2","Reports","0","Generate report","0","0","","0"
