"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","","0","0","","0"
"2","System/Gateway","0","Currency","0","0","","0"
"0","System/Companies and business units","0","Add business unit","5","0","","0"
"0","System/Team","0","Edit user","0","6","","0"
"0","Login","0","Remember me","0","2","","0"
"0","Companies and business units","0","Reset filter","1","0","","0"
"0","System/Team","0","Sorting in table","2","0","","0"
"0","Companies and business units","0","Add business unit","1","0","","0"
"0","Login","0","Navigation","0","5","","0"
"0","System/Companies and business units","0","Edit company","1","0","","0"
"0","System/Team","0","Add user","2","1","","1"
"0","Header","0","Logo","0","1","","0"
"0","System/Team","0","Status","0","1","","0"
"1","Header","0","User menu","2","0","","0"
"0","System/Team","0","Reset filter","0","1","","0"
"0","System/Team","0","Navigation","0","1","","0"
"0","System/Acquirers","0","Edit acquirers","0","1","","0"
