"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Transactions","0","Business unit","0","0","","1"
"0","System/Acquirers","0","Acquirers list","0","0","","2"
"0","System/Companies and business units","0","Add business unit","0","0","","1"
"0","Header","0","User menu","0","0","","1"
"0","System/Team","0","Add user","0","1","","1"
"0","Companies and business units","0","Add business unit","0","0","","1"
"0","Header","0","Logo","0","0","","1"
"0","Header","0","Transactions menu item","0","0","","1"
"0","System/Companies and business units","0","Edit business unit","0","0","","5"
"0","System/Gateway","0","Currency","0","0","","1"
"0","System/Acquirers","0","Add acquirer","0","0","","1"
