"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reports","0","Navigation","0","0","","1"
"0","System/Acquirers","0","Add acquirer","4","0","","0"
"0","Transactions","0","Amount","1","0","","0"
"0","Reports","0","Generate report","0","0","","2"
"0","Reports","0","Reset filter","0","0","","1"
"0","Transactions","0","Settings","2","0","","0"
"0","Reports","0","Table entries sorting","0","0","","2"
"0","Transactions","0","Export table data","2","0","","0"
"0","System/Transaction Management","0","Add adjustment","0","0","","2"
"0","Reports","0","Data range","0","0","","1"
"0","Transactions","0","Reset filter","0","0","","1"
