"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Unauthenticated users are automatically redirected to the 'Login page'","931","testUnauthenticatedUserRedirectionToLoginPage","suite name","Thu Jul 17 22:38:40 GMT 2025","passed","Thu Jul 17 22:38:41 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Check that selecting a company populates the 'Business units list', and when no company is selected, the list is empty with 'No items.'","3476","testBusinessUnitsListUpdatesOnCompanySelection","suite name","Thu Jul 17 22:34:03 GMT 2025","passed","Thu Jul 17 22:34:06 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testBusinessUnitsListUpdatesOnCompanySelection"
"Add new system admin under super admin","7750","testAddSystemAdmin","suite name","Thu Jul 17 22:32:25 GMT 2025","passed","Thu Jul 17 22:32:33 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddSystemAdmin"
"Add Active Fraud Control","6444","testAddActiveFraudControl","suite name","Thu Jul 17 22:37:16 GMT 2025","passed","Thu Jul 17 22:37:23 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testAddActiveFraudControl"
"Check that Logo in header contains text 'NPGW' and image","69","testLogoContainsTextAndImage","suite name","Thu Jul 17 22:36:39 GMT 2025","passed","Thu Jul 17 22:36:39 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogoContainsTextAndImage"
"'Reset filter' clears selected options to default","4231","testResetFilter","suite name","Thu Jul 17 22:32:16 GMT 2025","passed","Thu Jul 17 22:32:20 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testResetFilter"
"Verify, that 'Reset filter' clean 'Company' input field","2232","testResetCompany","suite name","Thu Jul 17 22:28:35 GMT 2025","passed","Thu Jul 17 22:28:37 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCompany"
"Create company analyst under admin","26965","testCreateCompanyAnalystAndDeactivate","suite name","Thu Jul 17 22:33:24 GMT 2025","passed","Thu Jul 17 22:33:51 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCreateCompanyAnalystAndDeactivate"
"'Filename' column header sorts entries in alphabetical and reverse order","1","testSortingByFilename","suite name","Thu Jul 17 22:25:21 GMT 2025","unknown","Thu Jul 17 22:25:21 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testSortingByFilename"
"Verify default state of the 'Add Acquirer' dialog","4497","testDefaultStateOfAddAcquirerDialog","suite name","Thu Jul 17 22:26:23 GMT 2025","passed","Thu Jul 17 22:26:28 GMT 2025","xyz.npgw.test.run.AddEditAcquirerTest","test name","xyz.npgw.test.run.AddEditAcquirerTest","testDefaultStateOfAddAcquirerDialog"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","3816","testRememberMeUncheckedDontSaveUserEmail","suite name","Thu Jul 17 22:38:34 GMT 2025","passed","Thu Jul 17 22:38:38 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"Company can be added by filling out required fields","4515","testAddCompanyByFillRequiredFields","suite name","Thu Jul 17 22:38:15 GMT 2025","passed","Thu Jul 17 22:38:20 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testAddCompanyByFillRequiredFields"
"Reset company analyst password under company admin","14000","testResetPasswordForCompanyAnalyst","suite name","Thu Jul 17 22:35:28 GMT 2025","passed","Thu Jul 17 22:35:42 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testResetPasswordForCompanyAnalyst"
"All key chart elements are correctly displayed","7299","testVisibleChartElementsAreDisplayedCorrectly","suite name","Thu Jul 17 22:32:54 GMT 2025","passed","Thu Jul 17 22:33:01 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testVisibleChartElementsAreDisplayedCorrectly"
"Verify full lists of column headers in table and visible columns from Settings","7977","testCheckUncheckAllVisibleColumns","suite name","Thu Jul 17 22:25:39 GMT 2025","passed","Thu Jul 17 22:25:47 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckAllVisibleColumns"
"User navigate to 'Reports page' after clicking on 'Reports' link on the header","0","testNavigateToReportsPage","suite name","Thu Jul 17 22:25:21 GMT 2025","unknown","Thu Jul 17 22:25:21 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testNavigateToReportsPage"
"Filter acquirers by status.","5060","testFilterAcquirersByStatus","suite name","Thu Jul 17 22:28:50 GMT 2025","passed","Thu Jul 17 22:28:55 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testFilterAcquirersByStatus"
