"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"'Filename' column header sorts entries in alphabetical and reverse order","0","testSortingByFilename","suite name","Fri Sep 12 05:54:54 GMT 2025","unknown","Fri Sep 12 05:54:54 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testSortingByFilename"
"Verify, that date picker contains default value before and after reset filter","2550","testResetData","suite name","Fri Sep 12 06:02:34 GMT 2025","passed","Fri Sep 12 06:02:37 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetData"
"Activate Fraud Control added to Business Unit and Deactivate Fraud Control added to Business Unit","25192","testChangeControlActivityForFraudControlAddedToBusinessUnit","suite name","Fri Sep 12 06:09:56 GMT 2025","passed","Fri Sep 12 06:10:21 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testChangeControlActivityForFraudControlAddedToBusinessUnit"
"Verify, that contents of Tooltips, that appear after hovering on the icon-buttons, are correct","9260","testTooltipsContent","suite name","Fri Sep 12 06:04:57 GMT 2025","passed","Fri Sep 12 06:05:06 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testTooltipsContent"
"Verify Minimum and Maximum Password Length Restrictions (negative)","2462","testPasswordLengthRestrictionsOnChange","suite name","Fri Sep 12 05:57:13 GMT 2025","passed","Fri Sep 12 05:57:16 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testPasswordLengthRestrictionsOnChange"
"Error message 'From should be lesser than To' appears","3136","testErrorMessageByAmountAsAdmin","suite name","Fri Sep 12 06:04:02 GMT 2025","passed","Fri Sep 12 06:04:05 GMT 2025","xyz.npgw.test.run.AdminTransactionsPageTest","test name","xyz.npgw.test.run.AdminTransactionsPageTest","testErrorMessageByAmountAsAdmin"
"Add Active Fraud Control with Fraud Screen type","9990","testAddActiveFraudControlWithFraudScreenType","suite name","Fri Sep 12 06:06:58 GMT 2025","passed","Fri Sep 12 06:07:08 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testAddActiveFraudControlWithFraudScreenType"
"Verify, that date picker contains default value before and after reset filter","2767","testResetDataAsTestUser","suite name","Fri Sep 12 05:58:35 GMT 2025","passed","Fri Sep 12 05:58:37 GMT 2025","xyz.npgw.test.run.UserTransactionsPageTest","test name","xyz.npgw.test.run.UserTransactionsPageTest","testResetDataAsTestUser"
"Verify, that the data in Transaction Details Dialog corresponds to the data in Transactions table","10193","testDataMatching","suite name","Fri Sep 12 05:59:38 GMT 2025","passed","Fri Sep 12 05:59:48 GMT 2025","xyz.npgw.test.run.TransactionDetailsTest","test name","xyz.npgw.test.run.TransactionDetailsTest","testDataMatching"
"'Reset' button clears selected filter values and resets them to default.","6665","testResetFilter","suite name","Fri Sep 12 06:05:31 GMT 2025","passed","Fri Sep 12 06:05:37 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testResetFilter"
"User navigate to 'Transactions page' after clicking on 'Transactions' link on the header","1979","testNavigateToTransactionsPage","suite name","Fri Sep 12 06:01:30 GMT 2025","passed","Fri Sep 12 06:01:32 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testNavigateToTransactionsPage"
