"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Transactions","0","Reset filter","15","0","","1"
"0","Transactions","0","Pagination","0","0","","3"
"0","Reports","0","Navigation","0","0","","1"
"0","Transactions","0","Amount","4","0","","1"
"0","Header","0","User menu","13","0","","0"
"0","Header","0","Logo","2","0","","0"
"0","Reports","0","Generate report","0","0","","2"
"0","System/Companies and business units","0","Add business unit","2","0","","0"
"0","System/Acquirers","0","Acquirers list","7","0","","1"
"0","Login","0","Navigation","5","0","","0"
"0","Transactions","0","Refresh data","2","0","","0"
"0","System/Companies and business units","0","Add company","12","0","","0"
"0","System/Acquirers","0","Rows Per Page","3","0","","0"
"0","Transactions","0","Currency","3","0","","0"
"0","Transactions","0","Panel","1","0","","0"
"0","Transactions","0","Business unit","1","0","","0"
"0","Companies and business units","0","Reset filter","1","0","","0"
"0","Transactions","0","Filter","4","0","","3"
"0","System/Acquirers","0","Status","4","0","","0"
"0","System/Team","0","Sorting in table","2","0","","0"
"0","Dashboard","0","Data range","1","0","","0"
"0","Transactions","0","Export table data","3","0","","0"
"0","Transactions","0","Settings","2","0","","0"
"0","System/Team","0","Add user","3","0","","2"
"0","Transactions","0","Card type","1","0","","0"
"0","Transactions","0","Status","1","0","","0"
"0","System/Team","0","Edit user","6","0","","0"
"0","Dashboard","0","Refresh data","0","0","","1"
"0","System/Acquirers","0","Reset","2","0","","0"
"0","Transactions","0","Transaction details","2","0","","2"
"0","Dashboard","0","Transaction summary","0","0","","1"
"0","System/Gateway","0","Currency","5","0","","0"
"0","System/Acquirers","0","Add acquirer","6","0","","0"
"0","System/Team","0","Delete user","1","0","","2"
"0","Login","0","Remember me","2","0","","0"
"0","System/Companies and business units","0","Delete Company","3","0","","0"
"0","Reports","0","Table entries sorting","0","0","","2"
"0","Dashboard","0","Navigation","1","0","","0"
"0","System/Companies and business units","0","Delete business unit","1","0","","0"
"0","Transactions","0","Table sorting","0","0","","2"
"0","Dashboard","0","Chart Display","0","0","","1"
"0","Transactions","0","Date range","1","0","","0"
"0","Header","0","Transactions menu item","1","0","","0"
"0","Reports","0","Data range","0","0","","1"
"0","System/Companies and business units","0","Edit business unit","1","0","","0"
"0","Dashboard","0","Transaction summary mock data","1","0","","0"
"0","System/Acquirers","0","Edit acquirers","1","0","","0"
"0","System/Companies and business units","0","Edit company","1","0","","0"
"0","System/Team","0","Reset filter","1","0","","0"
"0","System/Team","0","Navigation","1","0","","0"
"0","System/Acquirers","0","Select acquirer","1","0","","0"
"0","Transactions","0","Navigation","1","0","","0"
"0","Reports","0","Reset filter","0","0","","1"
"0","System/Acquirers","0","Delete acquirer","1","0","","0"
"0","System/Companies and business units","0","Settings","1","0","","0"
"0","System/Team","0","Status","1","0","","0"
"0","Header","0","Log Out","1","0","","0"
"0","Dashboard","0","Reset filter","1","0","","0"
