"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check/Uncheck Visible columns in the Settings and verify table column headers","27040","testCheckUncheckOneVisibleColumn","suite name","Wed Jul 02 16:30:18 GMT 2025","passed","Wed Jul 02 16:30:45 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckOneVisibleColumn"
"Error message when trying to create a company with invalid length and special characters.","4152","testErrorForInvalidCompanyNameLengthAndCharacters","suite name","Wed Jul 02 16:28:32 GMT 2025","passed","Wed Jul 02 16:28:36 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorForInvalidCompanyNameLengthAndCharacters"
"Status filter correctly displays users with 'Active' or 'Inactive' status","18744","testStatusFilterDisplaysCorrectUsers","suite name","Wed Jul 02 16:30:23 GMT 2025","passed","Wed Jul 02 16:30:41 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testStatusFilterDisplaysCorrectUsers"
"Verify that company can be deleted","9324","testDeleteCompany","suite name","Wed Jul 02 16:32:46 GMT 2025","passed","Wed Jul 02 16:32:56 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testDeleteCompany"
"Unauthenticated users are automatically redirected to the 'Login page'","2079","testUnauthenticatedUserRedirectionToLoginPage","suite name","Wed Jul 02 16:21:16 GMT 2025","passed","Wed Jul 02 16:21:18 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Filtering transactions by Currency","9305","testFilterTransactionsByCurrency","suite name","Wed Jul 02 16:34:04 GMT 2025","passed","Wed Jul 02 16:34:13 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
"Error message is displayed when start date is after end date.","1735","testErrorMessageForReversedDateRange","suite name","Wed Jul 02 16:34:14 GMT 2025","passed","Wed Jul 02 16:34:16 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testErrorMessageForReversedDateRange"
"Check that click on Logo return user to the dashboard page from other pages","1480","testClickLogoReturnToDashboardPage","suite name","Wed Jul 02 16:22:23 GMT 2025","passed","Wed Jul 02 16:22:24 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testClickLogoReturnToDashboardPage"
"Verify full lists of column headers in table and visible columns from Settings","6507","testCheckUncheckAllVisibleColumns","suite name","Wed Jul 02 16:30:03 GMT 2025","passed","Wed Jul 02 16:30:10 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckAllVisibleColumns"
"Check password policy validation error messages when changing password in user menu","14510","testChangePasswordValidationMessages","suite name","Wed Jul 02 16:21:32 GMT 2025","passed","Wed Jul 02 16:21:46 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
