"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","System/Companies and business units","0","Add merchant","3","0","","0"
"0","Transactions","0","Pagination","0","0","","1"
"0","Dashboard","0","Navigation","1","0","","0"
"0","System/Companies and business units","0","Add company","0","0","","1"
"1","","0","","0","0","","0"
"0","Transactions","0","Amount","0","0","","1"
"0","System/Gateway","0","Currency","0","0","","1"
"0","System/Acquirers","0","Edit acquirers","0","0","","1"
"0","Header","0","User menu","0","0","","1"
"0","Reports","0","Navigation","0","1","","0"
