"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the default 'Rows Per Page' value is 25 and the dropdown contains the correct options.","4491","testRowsPerPageDropdownOptions","suite name","Sat Jul 26 05:17:19 GMT 2025","passed","Sat Jul 26 05:17:23 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageDropdownOptions"
"Verify that merchant acquirer can be activated and deactivated by Super","21188","testActivateDeactivateMerchantAcquirer","suite name","Sat Jul 26 05:20:49 GMT 2025","passed","Sat Jul 26 05:21:10 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testActivateDeactivateMerchantAcquirer"
"Add Fraud Control to Business Unit with Cancel buttonAdd Fraud Control to Business Unit with 'Cross'Add Fraud Control to Business Unit with ESC","10239","testCancelAddingFraudControlToBusinessUnit","suite name","Sat Jul 26 05:26:17 GMT 2025","passed","Sat Jul 26 05:26:28 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testCancelAddingFraudControlToBusinessUnit"
"Edit company info and save","8587","testEditCompanyInfoAndSave","suite name","Sat Jul 26 05:29:07 GMT 2025","passed","Sat Jul 26 05:29:15 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testEditCompanyInfoAndSave"
"Verifies that table column headers are displayed correctly on each page when navigating through paginated results.","16265","testColumnHeadersDisplayCorrectlyOnAllPages","suite name","Sat Jul 26 05:15:27 GMT 2025","passed","Sat Jul 26 05:15:44 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testColumnHeadersDisplayCorrectlyOnAllPages"
"Verify, that 'Reset filter' button change 'Status' to default value ( ALL)","2158","testResetStatus","suite name","Sat Jul 26 05:17:13 GMT 2025","passed","Sat Jul 26 05:17:16 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetStatus"
"Verify content of 'Generation Parameters dialog'","0","testContentOfGenerationParametersDialog","suite name","Sat Jul 26 05:12:45 GMT 2025","unknown","Sat Jul 26 05:12:45 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testContentOfGenerationParametersDialog"
"Activate Fraud Control not added to Business UnitDeactivate Fraud Control not added to Business Unit","1","testChangeControlActivityForFraudControlNotAddedToBusinessUnit","suite name","Sat Jul 26 05:12:44 GMT 2025","unknown","Sat Jul 26 05:12:44 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testChangeControlActivityForFraudControlNotAddedToBusinessUnit"
"The transaction table data on the UI matches the exported CSV file data.","18632","testTransactionTableMatchesDownloadedCsv","suite name","Sat Jul 26 05:21:15 GMT 2025","passed","Sat Jul 26 05:21:33 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testTransactionTableMatchesDownloadedCsv"
"Edits the user's role and status, verifies the updates, and reactivates the user.","14159","testEditUser","suite name","Sat Jul 26 05:22:33 GMT 2025","passed","Sat Jul 26 05:22:47 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testEditUser"
"Filtering transactions by Currency","7947","testFilterTransactionsByCurrency","suite name","Sat Jul 26 05:18:40 GMT 2025","passed","Sat Jul 26 05:18:48 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
"Verify, that 'Reset filter' button change 'Amount' to default value ( AMOUNT)","3190","testResetAmount","suite name","Sat Jul 26 05:15:15 GMT 2025","passed","Sat Jul 26 05:15:18 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetAmount"
"Verifies that the status radio buttons ('Active' and 'Inactive') toggle correctly.","4088","testToggleStatusRadioButtonsCorrectly","suite name","Sat Jul 26 05:14:35 GMT 2025","passed","Sat Jul 26 05:14:39 GMT 2025","xyz.npgw.test.run.AddEditAcquirerTest","test name","xyz.npgw.test.run.AddEditAcquirerTest","testToggleStatusRadioButtonsCorrectly"
"Filtering transactions by Amount","10073","testFilterTransactionsByAmount","suite name","Sat Jul 26 05:17:59 GMT 2025","passed","Sat Jul 26 05:18:09 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByAmount"
