"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"'Create' button is disabled when required fields are not filled.","3635","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","Surefire suite","Sat Apr 05 11:34:57 GMT 2025","passed","Sat Apr 05 11:35:01 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
"Unauthenticated users are automatically redirected to the 'Login page'","3459","testUnauthenticatedUserRedirectionToLoginPage","Surefire suite","Sat Apr 05 11:33:46 GMT 2025","passed","Sat Apr 05 11:33:50 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Unauthenticated users are automatically redirected to the 'Login page'","3605","testUnauthenticatedUserRedirectionToLoginPage","Surefire suite","Sat Apr 05 11:33:37 GMT 2025","passed","Sat Apr 05 11:33:40 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Check that the Transactions Button is visible","1387","testTransactions","Surefire suite","Sat Apr 05 11:36:31 GMT 2025","passed","Sat Apr 05 11:36:33 GMT 2025","xyz.npgw.test.run.HeaderTest","Surefire test","xyz.npgw.test.run.HeaderTest","testTransactions"
"Verify: Selecting the 'Select acquirer' field opens a dropdown with Acquirers list.","0","testSelectAcquirerDropdownFunctionality","Surefire suite","Sat Apr 05 11:32:29 GMT 2025","unknown","Sat Apr 05 11:32:29 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","Surefire test","xyz.npgw.test.run.AcquirersPageTest","testSelectAcquirerDropdownFunctionality"
"Verify that the 'Add Company' window displays the correct title in the header.","4715","testVerifyAddCompanyWindowTitle","Surefire suite","Sat Apr 05 11:35:07 GMT 2025","passed","Sat Apr 05 11:35:11 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyAddCompanyWindowTitle"
"Verify that on Transactions Page after clicking on Transactions user can see Panel: Date range, Business unit, Currency, Payment method, Status, Amount, Reset filter, Apply data, Download file, Settings.","2005","testTheVisibilityOfTheControlPanelElementsOnTheTransactionsPage","Surefire suite","Sat Apr 05 11:34:28 GMT 2025","passed","Sat Apr 05 11:34:30 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","Surefire test","xyz.npgw.test.run.TransactionsPageTest","testTheVisibilityOfTheControlPanelElementsOnTheTransactionsPage"
"Unauthenticated users are automatically redirected to the 'Login page'","3597","testUnauthenticatedUserRedirectionToLoginPage","Surefire suite","Sat Apr 05 11:33:32 GMT 2025","passed","Sat Apr 05 11:33:36 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Verifying that we can switch the page when we click next button","2223","testPaginationNextButton","Surefire suite","Sat Apr 05 11:34:20 GMT 2025","passed","Sat Apr 05 11:34:22 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","Surefire test","xyz.npgw.test.run.TransactionsPageTest","testPaginationNextButton"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","5302","testVerifyErrorMessageForInvalidCompanyNameLength","Surefire suite","Sat Apr 05 11:35:28 GMT 2025","passed","Sat Apr 05 11:35:34 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
