"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","System/Companies and business units","0","Add business unit","5","0","","0"
"0","System/Gateway","0","Currency","4","0","","0"
"0","Login","0","Navigation","5","0","","0"
"0","System/Team","0","Edit user","5","0","","0"
"0","System/Companies and business units","0","Edit business unit","1","0","","0"
"0","Header","0","User menu","11","0","","0"
"0","System/Team","0","Navigation","1","0","","0"
"0","Header","0","Transactions menu item","1","0","","0"
"0","System/Team","0","Add user","3","0","","1"
"0","Login","0","Remember me","2","0","","0"
"0","System/Team","0","Sorting in table","2","0","","0"
"0","Companies and business units","0","Reset filter","1","0","","0"
"0","Header","0","Log Out","1","0","","0"
"0","System/Companies and business units","0","Edit company","1","0","","0"
"0","Header","0","Logo","2","0","","0"
"0","System/Acquirers","0","Edit acquirers","1","0","","0"
"0","Companies and business units","0","Add business unit","1","0","","0"
