"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that selecting a 'Rows Per Page' option displays the correct number of rows in the table.","0","testRowsPerPageSelectionDisplaysCorrectNumberOfRows","suite name","Fri May 16 18:25:40 GMT 2025","skipped","Fri May 16 18:25:40 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageSelectionDisplaysCorrectNumberOfRows"
"Displaying rows per page options when clicking on Selector Rows","0","testCountOptionsSelectorRows","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testCountOptionsSelectorRows"
"'Create' button is disabled when required fields are not filled.","0","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
"Add a new user and verify that all fields, statuses, and icons are correctly displayed(e2e).","2940","testAddCompanyAnalyst","suite name","Fri May 16 18:25:37 GMT 2025","broken","Fri May 16 18:25:40 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddCompanyAnalyst"
"Check that Logo in header contains text 'NPGW' and image","0","testLogoContainsTextAndImage","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogoContainsTextAndImage"
"Verify that user can see selector Status Options","0","testTheVisibilityOfTheStatusSelectorOptions","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testTheVisibilityOfTheStatusSelectorOptions"
"Filtering transactions by Amount","0","testFilterTransactionsByAmount","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testFilterTransactionsByAmount"
"Verify that the dialog is closed by clicking on the 'Close' icon","0","testVerifyDialogClosedByClickIconClose","suite name","Fri May 16 18:25:37 GMT 2025","skipped","Fri May 16 18:25:37 GMT 2025","xyz.npgw.test.run.EditBusinessUnitDialogTest","test name","xyz.npgw.test.run.EditBusinessUnitDialogTest","testVerifyDialogClosedByClickIconClose"
"Check that click on Logo return user to the dashboard page from other pages","0","testClickLogoReturnToDashboardPage","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testClickLogoReturnToDashboardPage"
"Selecting the 'Select acquirer' field opens a dropdown with Acquirers list.","0","testSelectAcquirerDropdownFunctionality","suite name","Fri May 16 18:25:40 GMT 2025","skipped","Fri May 16 18:25:40 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testSelectAcquirerDropdownFunctionality"
"Add a new business unit with 'Add business unit' button","0","testAddNewMerchants","suite name","Fri May 16 18:25:40 GMT 2025","skipped","Fri May 16 18:25:40 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testAddNewMerchants"
"Download files: PDF, Excel, CVS","0","testDownloadFiles","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","5492","testRememberMeUncheckedDontSaveUserEmail","suite name","Fri May 16 18:25:03 GMT 2025","passed","Fri May 16 18:25:08 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"User navigate to 'Transactions page' after clicking on 'Transactions' link on the header","0","testNavigateToTransactionsPage","suite name","Fri May 16 18:25:38 GMT 2025","skipped","Fri May 16 18:25:38 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testNavigateToTransactionsPage"
