"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify full lists of column headers in table and visible columns from Settings","6845","testCheckUncheckAllVisibleColumns","suite name","Mon Aug 18 11:33:06 GMT 2025","passed","Mon Aug 18 11:33:13 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckAllVisibleColumns"
"Status filter correctly displays users with 'Active' or 'Inactive' status","12951","testStatusFilterDisplaysCorrectUsersAsAdmin","suite name","Mon Aug 18 11:52:49 GMT 2025","passed","Mon Aug 18 11:53:02 GMT 2025","xyz.npgw.test.run.TeamPageAdminTest","test name","xyz.npgw.test.run.TeamPageAdminTest","testStatusFilterDisplaysCorrectUsersAsAdmin"
"Tooltips for available actions check","5954","testTooltipsForAcquirersTable","suite name","Mon Aug 18 11:45:56 GMT 2025","passed","Mon Aug 18 11:46:02 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testTooltipsForAcquirersTable"
"Verify, that 'Reset filter' button change 'Status' to default value ( ALL)","2166","testResetStatus","suite name","Mon Aug 18 11:51:41 GMT 2025","passed","Mon Aug 18 11:51:43 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetStatus"
"Verifies that the status radio buttons ('Active' and 'Inactive') toggle correctly.","2934","testToggleStatusRadioButtonsCorrectly","suite name","Mon Aug 18 11:54:02 GMT 2025","passed","Mon Aug 18 11:54:05 GMT 2025","xyz.npgw.test.run.AddEditAcquirerTest","test name","xyz.npgw.test.run.AddEditAcquirerTest","testToggleStatusRadioButtonsCorrectly"
"Verify that the color theme matching with the default browser theme","75","testDefaultThemeMatching","suite name","Mon Aug 18 11:48:46 GMT 2025","passed","Mon Aug 18 11:48:46 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testDefaultThemeMatching"
"Verify that the Control Name field requires between 4 and 100 characters","5150","testControlNameLengthRestrictions","suite name","Mon Aug 18 11:34:14 GMT 2025","passed","Mon Aug 18 11:34:19 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testControlNameLengthRestrictions"
"Deactivate company analyst by 'Change user activity button' and verify status change as admin","11184","testDeactivateUserViaChangeUserActivityButtonAsAdmin","suite name","Mon Aug 18 11:51:27 GMT 2025","passed","Mon Aug 18 11:51:39 GMT 2025","xyz.npgw.test.run.TeamPageAdminTest","test name","xyz.npgw.test.run.TeamPageAdminTest","testDeactivateUserViaChangeUserActivityButtonAsAdmin"
"Verifies that the status radio buttons ('Active' and 'Inactive') toggle correctly.","3057","testToggleStatusRadioButtonsCorrectly","suite name","Mon Aug 18 11:54:09 GMT 2025","passed","Mon Aug 18 11:54:12 GMT 2025","xyz.npgw.test.run.AddEditAcquirerTest","test name","xyz.npgw.test.run.AddEditAcquirerTest","testToggleStatusRadioButtonsCorrectly"
"Verify, that 'Reset filter' button change 'Status' to default value ( ALL)","3533","testResetStatus","suite name","Mon Aug 18 11:51:08 GMT 2025","passed","Mon Aug 18 11:51:12 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetStatus"
"Verify that a new business unit wasn't added once click 'Close' button","5178","testCloseButtonAndDiscardChanges","suite name","Mon Aug 18 11:35:42 GMT 2025","passed","Mon Aug 18 11:35:47 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testCloseButtonAndDiscardChanges"
"Verify default filter state was applied once reset","3069","testResetAppliedFilter","suite name","Mon Aug 18 11:35:19 GMT 2025","passed","Mon Aug 18 11:35:22 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testResetAppliedFilter"
