"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Compare number of transactions with selected statuses in the table before and after filter","18117","testFilterByStatus","suite name","Mon Jun 23 16:27:51 GMT 2025","passed","Mon Jun 23 16:28:09 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByStatus"
"All key chart elements are correctly displayed","0","testVisibleChartElementsAreDisplayedCorrectly","suite name","Mon Jun 23 16:19:54 GMT 2025","unknown","Mon Jun 23 16:19:54 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testVisibleChartElementsAreDisplayedCorrectly"
"Download files: PDF, Excel, CSV","2908","testDownloadFiles","suite name","Mon Jun 23 16:24:13 GMT 2025","passed","Mon Jun 23 16:24:16 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"User navigate to 'Login page'","1252","testNavigateToLoginPage","suite name","Mon Jun 23 16:31:14 GMT 2025","passed","Mon Jun 23 16:31:15 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testNavigateToLoginPage"
"Verify that re-selecting an already selected currency keeps the selection unchanged.","10459","testRetainCurrencyWhenReSelectingSameOption","suite name","Mon Jun 23 16:31:43 GMT 2025","passed","Mon Jun 23 16:31:54 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testRetainCurrencyWhenReSelectingSameOption"
"Compare number of transactions with selected statuses in the table before and after filter","17555","testFilterByStatus","suite name","Mon Jun 23 16:29:06 GMT 2025","passed","Mon Jun 23 16:29:24 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByStatus"
"Verify that the color theme matching with the default browser theme","34","testDefaultThemeMatching","suite name","Mon Jun 23 16:21:43 GMT 2025","passed","Mon Jun 23 16:21:43 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testDefaultThemeMatching"
"Check password policy validation error messages when changing password in user menu","15761","testChangePasswordValidationMessages","suite name","Mon Jun 23 16:21:03 GMT 2025","passed","Mon Jun 23 16:21:19 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
"Verify, that 'Reset filter' button change 'Status' to default value ( ALL)","2693","testResetStatus","suite name","Mon Jun 23 16:28:52 GMT 2025","passed","Mon Jun 23 16:28:55 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetStatus"
"Check if the user can change the password through the profile settings in the user menu","10212","testChangePassword","suite name","Mon Jun 23 16:23:00 GMT 2025","passed","Mon Jun 23 16:23:11 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePassword"
