"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that selecting a company populates the 'Business units list', and when no company is selected, the list is empty with 'No items.'","4860","testBusinessUnitsListUpdatesOnCompanySelection","suite name","Sun Jun 29 17:54:11 GMT 2025","passed","Sun Jun 29 17:54:16 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testBusinessUnitsListUpdatesOnCompanySelection"
"Verify that on the Transactions Page user can see Panel: Date range, Business unit, Currency, Payment method, Status, Amount, Reset filter, Apply data, Download file, Settings.","960","testVisibilityOfControlPanelElements","suite name","Sun Jun 29 18:11:04 GMT 2025","passed","Sun Jun 29 18:11:05 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testVisibilityOfControlPanelElements"
"Unauthenticated users are automatically redirected to the 'Login page'","3226","testUnauthenticatedUserRedirectionToLoginPage","suite name","Sun Jun 29 17:53:10 GMT 2025","passed","Sun Jun 29 17:53:14 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Validates successful company creation and correct field persistence (E2E test).","13305","testAddCompanyEndToEndTest","suite name","Sun Jun 29 17:59:16 GMT 2025","passed","Sun Jun 29 17:59:29 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyEndToEndTest"
"Displaying rows per page options when clicking on the RowsPerPage selector","6815","testCountOptionsSelectorRows","suite name","Sun Jun 29 18:02:41 GMT 2025","passed","Sun Jun 29 18:02:48 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCountOptionsSelectorRows"
"Validates successful business unit addition to company (E2E test).","8271","testAddBusinessUnitEndToEndTest","suite name","Sun Jun 29 18:03:39 GMT 2025","passed","Sun Jun 29 18:03:47 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testAddBusinessUnitEndToEndTest"
"Verify, that 'Reset filter' clean 'Company' input field","3523","testResetCompany","suite name","Sun Jun 29 18:08:36 GMT 2025","passed","Sun Jun 29 18:08:39 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCompany"
"Filtering transactions by Currency","8502","testFilterTransactionsByCurrency","suite name","Sun Jun 29 18:06:08 GMT 2025","passed","Sun Jun 29 18:06:16 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
"Error message when trying to create a company with invalid length and special characters.","4062","testErrorForInvalidCompanyNameLengthAndCharacters","suite name","Sun Jun 29 18:00:02 GMT 2025","passed","Sun Jun 29 18:00:06 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorForInvalidCompanyNameLengthAndCharacters"
"Correct transaction summary is displayed on Dashboard page","9168","testTransactionSummary","suite name","Sun Jun 29 18:02:34 GMT 2025","passed","Sun Jun 29 18:02:43 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testTransactionSummary"
"Reset company analyst password under company admin","17674","testResetPasswordForCompanyAnalyst","suite name","Sun Jun 29 18:01:42 GMT 2025","passed","Sun Jun 29 18:01:59 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testResetPasswordForCompanyAnalyst"
"User navigate to 'Login page'","1315","testNavigateToLoginPage","suite name","Sun Jun 29 17:52:41 GMT 2025","passed","Sun Jun 29 17:52:42 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testNavigateToLoginPage"
"User email is remembered after first successful login with checked 'Remember me'","8364","testRememberMeCheckedSavesUserEmail","suite name","Sun Jun 29 17:52:44 GMT 2025","passed","Sun Jun 29 17:52:52 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeCheckedSavesUserEmail"
"Compare number of transactions with selected statuses in the table before and after filter","10292","testFilterByStatus","suite name","Sun Jun 29 18:04:12 GMT 2025","passed","Sun Jun 29 18:04:23 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByStatus"
"'Size' column header sorts entries in ascending and descending order","2","testSortingBySize","suite name","Sun Jun 29 17:52:34 GMT 2025","unknown","Sun Jun 29 17:52:34 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testSortingBySize"
"Verify Acquirer status 'Active/Inactive' is displayed in column 'Status'","14109","testVerifyAcquirerStatus","suite name","Sun Jun 29 17:58:15 GMT 2025","passed","Sun Jun 29 17:58:29 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testVerifyAcquirerStatus"
"Verifying that we can switch the page when we click next button","7739","testPaginationNextButton","suite name","Sun Jun 29 18:06:50 GMT 2025","passed","Sun Jun 29 18:06:58 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testPaginationNextButton"
"Verify, that 'Reset filter' button change 'Card Type' to default value ( ALL)","2082","testResetCardType","suite name","Sun Jun 29 18:08:17 GMT 2025","passed","Sun Jun 29 18:08:19 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCardType"
"Verifies that the status radio buttons ('Active' and 'Inactive') toggle correctly.","8394","testToggleStatusRadioButtonsCorrectly","suite name","Sun Jun 29 18:01:01 GMT 2025","passed","Sun Jun 29 18:01:10 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testToggleStatusRadioButtonsCorrectly"
"Add new system admin under super admin","6602","testAddSystemAdmin","suite name","Sun Jun 29 17:57:40 GMT 2025","passed","Sun Jun 29 17:57:46 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddSystemAdmin"
"Check/uncheck reports columns in the 'Generation Parameters dialog'","0","testCheckboxesOfGenerationParameters","suite name","Sun Jun 29 17:52:34 GMT 2025","unknown","Sun Jun 29 17:52:34 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testCheckboxesOfGenerationParameters"
"Deactivate and activate user under company admin","19142","testDeactivateAndActivateCompanyUser","suite name","Sun Jun 29 17:59:38 GMT 2025","passed","Sun Jun 29 17:59:58 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testDeactivateAndActivateCompanyUser"
"Verify that the Company admin can see all the company's business units in the Business unit dropdown list","1013","testTheVisibilityOfTheAvailableBusinessUnitOptions","suite name","Sun Jun 29 18:10:38 GMT 2025","passed","Sun Jun 29 18:10:39 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testTheVisibilityOfTheAvailableBusinessUnitOptions"
"Check possibility to select an appropriate acquirer to merchant","15203","testSelectAcquirer","suite name","Sun Jun 29 17:56:04 GMT 2025","passed","Sun Jun 29 17:56:20 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testSelectAcquirer"
"Check if the user can change the password through the profile settings in the user menu","10164","testChangePassword","suite name","Sun Jun 29 17:55:56 GMT 2025","passed","Sun Jun 29 17:56:07 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePassword"
"Verify Acquirers table contains correct column headers","6653","testDisplayCorrectColumnHeadersInAcquirersTable","suite name","Sun Jun 29 17:53:37 GMT 2025","passed","Sun Jun 29 17:53:43 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testDisplayCorrectColumnHeadersInAcquirersTable"
"Download files: PDF, Excel, CSV","9195","testDownloadFiles","suite name","Sun Jun 29 18:05:51 GMT 2025","passed","Sun Jun 29 18:06:00 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"Correct transaction summary mock data is displayed on Dashboard page","10065","testTransactionSummaryMock","suite name","Sun Jun 29 18:02:51 GMT 2025","passed","Sun Jun 29 18:03:01 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testTransactionSummaryMock"
"'Reset' button clears selected filter values and resets them to default.","10274","testResetFilter","suite name","Sun Jun 29 17:55:43 GMT 2025","passed","Sun Jun 29 17:55:53 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testResetFilter"
"Check password policy validation error messages when changing password in user menu","15942","testChangePasswordValidationMessages","suite name","Sun Jun 29 17:52:52 GMT 2025","passed","Sun Jun 29 17:53:08 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
"Choose amount popup functionality","7178","testChooseAmountPopUp","suite name","Sun Jun 29 18:04:37 GMT 2025","passed","Sun Jun 29 18:04:44 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testChooseAmountPopUp"
"Log out via button in the user menu","1007","testLogOutViaButtonInUserMenu","suite name","Sun Jun 29 17:55:01 GMT 2025","passed","Sun Jun 29 17:55:02 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogOutViaButtonInUserMenu"
"Edit Amount","4237","testEditAmount","suite name","Sun Jun 29 18:06:28 GMT 2025","passed","Sun Jun 29 18:06:32 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testEditAmount"
"'Filename' column header sorts entries in alphabetical and reverse order","0","testSortingByFilename","suite name","Sun Jun 29 17:52:34 GMT 2025","unknown","Sun Jun 29 17:52:34 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testSortingByFilename"
"Verify that selecting a 'Rows Per Page' option displays the correct number of rows in the table.","14064","testRowsPerPageSelectionDisplaysCorrectNumberOfRows","suite name","Sun Jun 29 17:56:55 GMT 2025","passed","Sun Jun 29 17:57:09 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageSelectionDisplaysCorrectNumberOfRows"
