"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","System/Fraud control","0","Add/Edit/Delete Fraud Control","14","0","","0"
"0","Transactions","0","Export table data","3","0","","1"
"0","System/Fraud control","0","Business Unit Control table","5","0","","0"
"0","Transactions","0","Filter","6","0","","0"
"0","System/Fraud control","0","Control table","5","0","","1"
"0","Transactions","0","Amount","1","0","","0"
"0","System/Gateway","0","Merchant acquirer","4","0","","0"
"0","System/Transaction management","0","Add adjustment","1","0","","3"
"0","System/Companies and business units","0","Edit company","1","0","","0"
"0","System/Companies and business units","0","Edit business unit","2","0","","0"
"1","System/Business units","0","Settings","0","0","","0"
"1","System/Business units","0","Generate token","0","0","","0"
"0","Dashboard","0","Navigation","1","0","","0"
"0","Transactions","0","Transaction details","5","0","","0"
"0","Transactions","0","Pagination","2","0","","0"
"0","Dashboard","0","Chart Display","1","0","","0"
"0","Transactions","0","Reset filter","0","0","","3"
"0","Reports","0","Generate report","0","0","","2"
"0","System/Companies and business units","0","Add company","8","0","","0"
"0","Dashboard","0","Transaction summary","1","0","","0"
"0","System/Companies and business units","0","Settings","1","0","","0"
"0","Dashboard","0","Data range","1","0","","0"
"0","Dashboard","0","Transaction summary mock data","1","0","","0"
"0","System/Gateway","0","Currency","1","0","","0"
"0","Reports","0","Navigation","0","0","","1"
"0","Reports","0","Table entries sorting","0","0","","2"
"0","Transactions","0","Settings","3","0","","0"
"0","Reports","0","Reset filter","0","0","","1"
"0","System/Companies and business units","0","Reset filter","1","0","","0"
"0","System/Fraud control","0","Table sort","2","0","","0"
"0","Transactions","0","Table sorting","2","0","","0"
"0","System/Fraud control","0","Change control activity dialog Control table","1","0","","0"
"0","Dashboard","0","Refresh data","1","0","","0"
"0","System/Companies and business units","0","Delete company","3","0","","0"
"0","System/Fraud control","0","Reset filter","1","0","","0"
"0","Transactions","0","Actions","2","0","","0"
"0","Dashboard","0","Reset filter","1","0","","0"
"0","System/Companies and business units","0","Add business unit","2","0","","0"
"0","System/Companies and business units","0","Delete business unit","1","0","","0"
"0","Reports","0","Data range","0","0","","1"
